title,category,winner
      워터랩  래시가드 안녕  기능성 디자인 가성비 모두 하나로 ,패션·잡화,0
 누적 억   움직이는 주얼리  찰랑이는 물결의 반짝임을 담은 천연 원석,패션·잡화,0
핑계라고요  ,패션·잡화,0
이탈리아 감성을 담은 베네치아니코의 다이버 시계            ,패션·잡화,0
 누적 억 만족도    블랙야크 제주여행 가세요  트래블러   하세요 ,패션·잡화,1
                          패션위크 트랜드 주얼리세트,패션·잡화,0
 세대 다운펌   바르고 쓰면   분만에 옆머리 뒷머리까지 완벽 다운,패션·잡화,0
     앵콜   만원대  시원한 여름운동화  초경량    구름스니커즈,패션·잡화,0
 등풍기 로 가볍고 시원하게   여름에도 회색 티셔츠 마음대로 입자구요 ,패션·잡화,0
  만원대  희망을 찾아 피어오르다   위안부 피해 후원 키링 ,패션·잡화,0
 앵콜 펀딩  아웃도어  일상 구분 없이 착용 가능한 투웨이 지퍼 팬츠,패션·잡화,0
나를 입는 품격 그 자체 주얼리   페르소나 컬렉션 ,패션·잡화,0
  년 진주 전문가의      하나다마 등급 최고급 해수진주   평생소장,패션·잡화,1
  분만에 하루운동 끝     로 입기만해도 근육자극  바캉스준비 앵콜,패션·잡화,1
  년 정통 아웃도어 마모트      의 가벼움에 시원함을 더한 트레킹화,패션·잡화,0
 비즈자켓  비즈니스룩과 데일리룩의 완성   멀티포켓 블레이져,패션·잡화,0
  만원      프리미엄 방탄렌즈 얼굴소멸 선글라스  레저  일상,패션·잡화,1
 만원대   올여름 완벽하게 더위를 막아줄 프리미엄 선글라스,패션·잡화,0
         티타늄 안경의 정석   시간이 지나도 처음처럼,패션·잡화,0
 업그레이드 앵콜 운동필수품  스포츠테이핑을 이식한 컴프레션웨어  오버셔,패션·잡화,0
데일리하게 스며든 한국의 아름다움  단청을 품은 숄더백,패션·잡화,0
    만점 극찬앵콜  천연 다이아몬드만의 품격  천연 보석 감별서 동봉,패션·잡화,0
  차앵콜  입는 순간 땀샘 폭발  여름맞이 다이어트 기능성 땀복 자켓,패션·잡화,1
명품  사의 에삐가죽으로 스타일까지 더 예뻐진   에삐 부자지갑 ,패션·잡화,0
수납력 사이즈 서포터 만족도 이태리산 에삐가죽까지   에삐 지퍼지갑 ,패션·잡화,0
구두 전문 디자이너가 만든   가지 스타일의 고품격 양가죽 펌프스,패션·잡화,0
페트병으로 반바지를  스타일리쉬 까지 한 에코 반바지 ,패션·잡화,0
 골프  기능성과 스타일을 동시에   버튼업 플리츠 원피스,패션·잡화,0
      운동  그날의 울림을 담은   상 해 안 경  ,패션·잡화,1
 실리콘밸리 히트작  내 몸에 착붙  가볍고 편한 가방  플립슬링,패션·잡화,0
기능성 내구성 통기성    착용감까지  이런 양말이 진짜 스포츠양말이다 ,패션·잡화,0
탈 부착  초면 끝   에이본     맞춤형 자석부착식 차량용 햇빛가리개,패션·잡화,0
거울속의 비친 멋진 나를 위해 이제 쓱  바르고 착  차기만 하세요 ,패션·잡화,0
 전설의 슬랙스 귀환  그냥 울 아니고  슈퍼울     만원대 여름슬랙스,패션·잡화,1
벗겨지지 않는 덧신의 비밀 월클 링글 덧신                ,패션·잡화,1
 세상에 없던 혈당 다이어트 젤리  이번 여름은 더블컷과 ,푸드,1
다시 돌아온 차이머시 콜드브루 밀크티 ,푸드,0
서대문 삼겹  배 가득 김치찜 간편 밀키트,푸드,0
술자리 인싸  벨거없으  알쓰부터 술꾼까지  드림드링커 한 포면 충분 ,푸드,1
매운양 뼈찜,푸드,0
  분완성  끓여 먹는 전골식   시간 아롱 사태 수육,푸드,0
 몬스터급드링크 더이상따로먹지마세요 식사 프로틴 활력 한방에       ,푸드,0
덴마크에서 온      식물성 요거트  조커트 ,푸드,0
